1 
1, 18.47, 30.02, 0.37
2, 18.53, 33.95, 0.34
3, 18.45, 19.97, 0.36
4, 18.52, 31.97, 0.23
5, 18.52, 37.95, 0.31
6, 18.48, 23.98, 0.31
7, 18.47, 25.95, 0.30
8, 18.54, 39.96, 0.32
9, 18.44, 28.01, 0.30
10, 18.51, 22.00, 0.22
11, 18.53, 35.98, 0.23
2 
1, 21.42, 37.97, 0.34
2, 21.47, 19.99, 0.29
3, 21.46, 31.96, 0.31
4, 21.48, 21.98, 0.28
5, 21.44, 33.95, 0.23
6, 21.47, 25.99, 0.23
7, 21.47, 29.96, 0.24
8, 21.47, 23.98, 0.20
9, 21.43, 35.96, 0.21
3 
1, 24.46, 39.99, 0.34
2, 24.48, 33.96, 0.38
3, 24.46, 21.96, 0.29
4, 24.47, 26.00, 0.33
5, 24.44, 31.96, 0.25
6, 24.48, 36.00, 0.26
7, 24.43, 23.98, 0.24
8, 24.47, 37.99, 0.23
9, 24.47, 27.99, 0.22
10, 24.44, 29.96, 0.22
4 
1, 27.43, 35.98, 0.35
2, 27.43, 37.99, 0.30
3, 27.44, 25.99, 0.31
4, 27.49, 27.97, 0.27
5, 27.47, 31.98, 0.23
6, 27.47, 29.99, 0.31
7, 27.42, 21.96, 0.32
8, 27.37, 39.98, 0.27
9, 27.44, 23.99, 0.25
5 
1, 30.51, 38.03, 0.22
2, 30.45, 40.00, 0.32
3, 30.51, 35.98, 0.20
4, 30.43, 27.99, 0.31
5, 30.46, 34.01, 0.33
6, 30.45, 31.95, 0.32
7, 30.45, 21.96, 0.26
8, 30.47, 29.96, 0.24
9, 30.46, 23.98, 0.24
10, 30.44, 25.98, 0.24
11, 30.42, 19.96, 0.22
